"Último: Tiempo (s)","Último: Fuerza (N)"
0,8.60097312764
0.1,16.7820817865
0.2,31.2034759629
0.3,41.1097607475
0.4,43.8996940134
0.5,40.6784667161
0.6,34.6403502759
0.7,33.5755931358
0.8,34.6403502759
0.9,35.2872913231
1,35.0716443073
1.1,35.5029383388
1.2,36.149879386
1.3,36.3655264017
1.4,35.0716443073
1.5,35.5029383388
1.6,35.9342323702
1.7,35.7185853545
1.8,36.149879386
1.9,36.149879386
2,35.9342323702
2.1,34.8559972916
2.2,33.5755931358
2.3,32.2817110415
2.4,31.6347699943
2.5,30.9878289471
2.6,29.9095938685
2.7,29.9095938685
2.8,30.3408879
2.9,30.7721819314
3,31.6347699943
3.1,29.9095938685
3.2,25.3944844769
3.3,23.6693083511
3.4,25.8257785083
3.5,25.8257785083
3.6,24.7475434297
3.7,24.7475434297
3.8,43.0371059505
3.9,49.4930384837
4,43.6840469977
4.1,40.4628197004
4.2,37.0124674488
4.3,35.0716443073
4.4,31.2034759629
4.5,28.4000647585
4.6,27.3218296799
4.7,27.1061826642
4.8,25.6101314926
4.9,24.3162493983
5,23.8849553668
5.1,23.8849553668
5.2,24.7475434297
5.3,26.8905356484
5.4,28.4000647585
5.5,29.2626528214
5.6,29.4782998371
5.7,29.9095938685
5.8,29.2626528214
5.9,28.4000647585
6,27.7531237113
6.1,28.1844177428
6.2,29.0470058057
6.3,29.0470058057
6.4,29.0470058057
6.5,28.4000647585
6.6,28.1844177428
6.7,28.1844177428
6.8,27.5374766956
6.9,27.1061826642
7,26.2570725398
7.1,25.3944844769
7.2,24.9631904454
7.3,24.7475434297
7.4,24.9631904454
7.5,24.9631904454
7.6,24.7475434297
7.7,24.3162493983
7.8,24.1006023826
7.9,24.1006023826
8,24.9631904454
8.1,25.3944844769
8.2,25.6101314926
8.3,25.6101314926
8.4,25.6101314926
8.5,25.6101314926
8.6,25.6101314926
8.7,25.8257785083
8.8,26.4727195555
8.9,27.968770727
9,29.6939468528
9.1,29.2626528214
9.2,30.5565349157
9.3,30.5565349157
9.4,30.7721819314
9.5,30.5565349157
9.6,30.3408879
9.7,29.9095938685
9.8,29.9095938685
9.9,29.6939468528
10,29.4782998371
10.1,29.2626528214
10.2,28.8313587899
10.3,28.6157117742
10.4,28.4000647585
10.5,28.1844177428
10.6,27.7531237113
10.7,27.7531237113
10.8,28.1844177428
10.9,27.968770727
11,28.1844177428
11.1,28.1844177428
11.2,28.1844177428
11.3,28.1844177428
11.4,28.6157117742
11.5,28.1844177428
11.6,28.4000647585
11.7,29.2626528214
11.8,30.1252408843
11.9,29.9095938685
12,29.2626528214
12.1,29.2626528214
12.2,28.8313587899
12.3,29.2626528214
12.4,29.0470058057
12.5,29.2626528214
12.6,30.1252408843
12.7,32.0660640257
12.8,32.7130050729
12.9,31.85041701
13,32.0660640257
13.1,31.6347699943
13.2,30.9878289471
13.3,30.7721819314
13.4,31.6347699943
13.5,30.9878289471
13.6,30.5565349157
13.7,30.5565349157
13.8,30.3408879
13.9,30.5565349157
14,30.9878289471
14.1,31.6347699943
14.2,31.2034759629
14.3,31.2034759629
14.4,30.9878289471
14.5,30.7721819314
14.6,29.0470058057
14.7,29.4782998371
14.8,29.9095938685
14.9,30.7721819314
15,30.3408879
15.1,30.1252408843
15.2,29.4782998371
15.3,29.9095938685
15.4,30.1252408843
15.5,30.1252408843
15.6,30.1252408843
15.7,30.1252408843
15.8,29.9095938685
15.9,30.1252408843
16,29.4782998371
16.1,29.2626528214
16.2,29.2626528214
16.3,29.0470058057
16.4,29.0470058057
16.5,28.1844177428
16.6,28.8313587899
16.7,29.2626528214
16.8,28.1844177428
16.9,28.6157117742
17,28.4000647585
17.1,28.8313587899
17.2,28.8313587899
17.3,29.0470058057
17.4,29.4782998371
17.5,29.6939468528
17.6,29.9095938685
17.7,30.5565349157
17.8,30.9878289471
17.9,31.2034759629
18,31.2034759629
18.1,31.4191229786
18.2,31.6347699943
18.3,30.9878289471
18.4,31.4191229786
18.5,32.4973580572
18.6,33.7912401515
18.7,33.7912401515
18.8,34.0068871672
18.9,34.4247032602
19,33.7912401515
19.1,32.7130050729
19.2,31.85041701
19.3,31.2034759629
19.4,30.3408879
19.5,30.1252408843
19.6,30.7721819314
19.7,31.6347699943
19.8,31.85041701
