Vernier Format 2
pulsos.cmbl 05/05/20 14:46 .
Último
Tiempo	Fuerza
t	F
s	N

0	3.65456970455
0.1	4.73280478315
0.2	5.58191490755
0.3	6.22885595472
0.4	9.2479141748
0.5	18.2916108966
0.6	35.2872913231
0.7	40.4628197004
0.8	30.1252408843
0.9	8.60097312764
1	5.36626789183
1.1	4.30151075171
1.2	4.30151075171
1.3	5.79756192327
1.4	20.4346031153
1.5	38.5219965589
1.6	42.6058119191
1.7	37.8750555117
1.8	26.6883665712
1.9	14.6256116293
2	5.15062087611
2.1	3.65456970455
2.2	3.65456970455
2.3	4.73280478315
2.4	11.6200313477
2.5	16.5664347708
2.6	24.9631904454
2.7	30.3408879
2.8	28.1844177428
2.9	24.1006023826
3	23.2380143197
3.1	17.4290228337
3.2	6.87579700188
3.3	3.87021672027
3.4	3.43892268883
3.5	5.15062087611
3.6	9.2479141748
3.7	21.2971911782
3.8	32.9286520886
3.9	39.168937606
4	38.9532905903
4.1	29.0470058057
4.2	11.1887373163
4.3	4.93497386039
4.4	3.65456970455
4.5	3.22327567311
4.6	3.22327567311
4.7	6.66014998616
4.8	20.0033090839
4.9	30.1252408843
5	30.9878289471
5.1	30.1252408843
5.2	27.3218296799
5.3	15.0569056608
5.4	6.22885595472
5.5	4.30151075171
5.6	3.43892268883
5.7	3.00762865739
5.8	4.30151075171
5.9	32.4973580572
6	47.9969873121
6.1	47.7813402964
6.2	46.2718111863
6.3	42.6058119191
6.4	21.0815441625
6.5	5.79756192327
6.6	3.43892268883
6.7	3.00762865739
6.8	2.57633462595
6.9	2.79198164167
7	8.60097312764
7.1	19.3698459752
7.2	27.1061826642
7.3	27.3218296799
7.4	24.1006023826
7.5	14.4099646136
7.6	5.15062087611
7.7	3.22327567311
7.8	2.57633462595
7.9	2.57633462595
8	7.52273804904
8.1	25.1788374612
8.2	36.5811734174
8.3	41.1097607475
8.4	39.8158786532
8.5	36.7968204331
8.6	14.8412586451
8.7	3.87021672027
8.8	3.00762865739
8.9	2.79198164167
9	2.79198164167
9.1	3.22327567311
9.2	9.2479141748
