Último: Tiempo (mín),Último: Tasa de Flujo (mL/s),,,
0,-528,,,
0,-745,,,
0,-479,,,
0,343,,,
0,638,,,
0,452,,,
0,61,,,
0,-212,,,
0,-569,,,
0,-554,,,
0,-91,,,
0,437,,,
0,510,,,
0,354,,,
0,104,,,
0,-292,,,
0,-603,,,
0,-598,,,
0,-219,,,
0,430,,,
0,518,,,
0,420,,,
0,-1172,,,
0,-2168,,,
0,-1327,,,
0,497,,,
0,669,,,
0,709,,,
0,750,,,
0,428,,,
0,168,,,
0,-240,,,
0,-858,,,
0,-839,,,
0,410,,,
0,3046,,,
0,1750,,,
0,-243,,,
0,-517,,,
0,-850,,,
0,-699,,,
0,-549,,,
0,315,,,
0,428,,,
0,326,,,
0,-159,,,
0,-1910,,,
0,-1839,,,
0,-167,,,
0,3851,,,
1,2333,,,
1,81,,,
1,-559,,,
1,-1118,,,
1,-927,,,
1,-640,,,
1,549,,,
1,530,,,
1,375,,,
1,-41,,,
1,-40,,,
1,-39,,,
1,-41,,,
1,-41,,,
1,-41,,,
1,-42,,,
1,-43,,,
